driver,year,avgLapTimeYear,seasonPoints
Damon Hill,1996,93.08444946492271,97.0
Jacques Villeneuve,1996,93.971151547492,78.0
Michael Schumacher,1996,95.94993065187239,59.0
Jean Alesi,1996,94.10064742014741,47.0
Mika HÌ_kkinen,1996,94.24586222222221,31.0
Gerhard Berger,1996,94.99286434108527,21.0
David Coulthard,1996,94.55967750677507,18.0
Rubens Barrichello,1996,95.29900255102041,14.0
Olivier Panis,1996,94.06009327846365,13.0
Eddie Irvine,1996,97.19706608695653,11.0
Martin Brundle,1996,95.44402695035461,8.0
Heinz-Harald Frentzen,1996,96.183935302391,7.0
Mika Salo,1996,97.44845165945166,5.0
Johnny Herbert,1996,93.90220111731843,4.0
Pedro Diniz,1996,96.89515156507413,2.0
Jos Verstappen,1996,96.84128333333334,1.0
Giancarlo Fisichella,1996,92.03623828125,0.0
Luca Badoer,1996,97.57958657243816,0.0
Ricardo Rosset,1996,96.88035830618892,0.0
Ukyo Katayama,1996,96.10242857142856,0.0
Pedro Lamy,1996,98.06679566563467,0.0
Andrea Montermini,1996,99.91984033613444,0.0
Giovanni Lavaggi,1996,90.77928057553957,0.0
Jacques Villeneuve,1997,89.44146697566629,81.0
Michael Schumacher,1997,91.36044736842105,78.0
Heinz-Harald Frentzen,1997,89.92271358024692,42.0
David Coulthard,1997,87.473019035533,36.0
Jean Alesi,1997,90.66019535374868,36.0
Mika HÌ_kkinen,1997,92.42420473537604,27.0
Gerhard Berger,1997,92.68663118811881,27.0
Eddie Irvine,1997,91.97456625000001,24.0
Giancarlo Fisichella,1997,92.34371210340775,20.0
Olivier Panis,1997,91.47506989247312,16.0
Johnny Herbert,1997,89.10909408926418,15.0
Ralf Schumacher,1997,90.74042037302725,13.0
Damon Hill,1997,90.56121003963011,7.0
Rubens Barrichello,1997,92.67577326565143,6.0
Alexander Wurz,1997,85.92317532467533,4.0
Jarno Trulli,1997,92.0106904422254,3.0
Mika Salo,1997,93.73264119601329,2.0
Pedro Diniz,1997,91.98191207153502,2.0
Shinji Nakano,1997,91.63847426981918,2.0
Nicola Larini,1997,94.10428880866425,1.0
Jos Verstappen,1997,93.54939692701664,0.0
Tarso Marques,1997,94.76620249221185,0.0
Jan Magnussen,1997,95.65463032367974,0.0
Ukyo Katayama,1997,94.90825628930817,0.0
Gianni Morbidelli,1997,89.6167706855792,0.0
Norberto Fontana,1997,96.24140845070423,0.0
Mika HÌ_kkinen,1998,88.76685397196262,100.0
Michael Schumacher,1998,89.62069055374593,86.0
David Coulthard,1998,91.90981362007167,56.0
Eddie Irvine,1998,91.2576830907055,47.0
Jacques Villeneuve,1998,91.13758359957401,21.0
Damon Hill,1998,92.88475174825174,20.0
Alexander Wurz,1998,90.08572405660378,17.0
Heinz-Harald Frentzen,1998,93.24043401015228,17.0
Giancarlo Fisichella,1998,91.9569597633136,16.0
Ralf Schumacher,1998,94.0874568452381,14.0
Jean Alesi,1998,93.41044121071013,9.0
Rubens Barrichello,1998,90.47541379310346,4.0
Mika Salo,1998,92.23750000000001,3.0
Pedro Diniz,1998,95.76325260960334,3.0
Jarno Trulli,1998,96.41491640866873,1.0
Johnny Herbert,1998,89.6955125,1.0
Jan Magnussen,1998,88.71911284046692,1.0
Olivier Panis,1998,92.64477077747989,0.0
Jos Verstappen,1998,90.94453727506428,0.0
Toranosuke Takagi,1998,94.17326747720365,0.0
Ricardo Rosset,1998,91.94109523809524,0.0
Esteban Tuero,1998,96.73044208809135,0.0
Shinji Nakano,1998,95.85592764857881,0.0
Mika HÌ_kkinen,1999,91.80273411764705,76.0
Eddie Irvine,1999,92.35560528992879,74.0
Heinz-Harald Frentzen,1999,92.49925027322404,54.0
David Coulthard,1999,91.44607960893855,48.0
Michael Schumacher,1999,92.74640699815838,44.0
Ralf Schumacher,1999,93.75316304347827,35.0
Rubens Barrichello,1999,93.35543529411764,21.0
Johnny Herbert,1999,93.46268233618234,15.0
Giancarlo Fisichella,1999,93.9118958068615,13.0
Mika Salo,1999,93.11638670694865,10.0
Jarno Trulli,1999,91.84032901134522,7.0
Damon Hill,1999,92.33858541266794,7.0
Alexander Wurz,1999,93.1284306569343,3.0
Pedro Diniz,1999,92.32002919708029,3.0
Olivier Panis,1999,92.89939641943734,2.0
Jean Alesi,1999,94.10612347560975,2.0
Pedro de la Rosa,1999,96.83227718223583,1.0
Marc GenÌ©,1999,94.84766713483147,1.0
Jacques Villeneuve,1999,93.2181762652705,0.0
Ricardo Zonta,1999,95.15105295007564,0.0
Toranosuke Takagi,1999,95.1615762987013,0.0
Luca Badoer,1999,95.94424202898551,0.0
Alessandro Zanardi,1999,94.1607264957265,0.0
Michael Schumacher,2000,90.18631270358306,108.0
Mika HÌ_kkinen,2000,91.03394597457627,89.0
David Coulthard,2000,89.61415107913669,73.0
Rubens Barrichello,2000,90.21251970181044,62.0
Ralf Schumacher,2000,92.06987842278204,24.0
Giancarlo Fisichella,2000,91.48897973778308,18.0
