year,decade,digit,name,logo
1958,195X,8,Vanwall,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/Vanwall.png
1959,195X,9,Cooper-Climax,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/Cooper.png
1960,196X,0,Cooper-Climax,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/Cooper.png
1961,196X,1,Ferrari,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/ferrari.png
1962,196X,2,BRM,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/BRM.png
1963,196X,3,Lotus-Climax,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/lotus.png
1964,196X,4,Ferrari,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/ferrari.png
1965,196X,5,Lotus-Climax,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/lotus.png
1966,196X,6,Brabham-Repco,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/Repco.png
1967,196X,7,Brabham-Repco,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/Repco.png
1968,196X,8,Lotus-Ford,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/lotus.png
1969,196X,9,Matra-Ford,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/Matra.png
1970,197X,0,Team Lotus,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/lotus.png
1971,197X,1,Tyrrell,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/tyrrel.png
1972,197X,2,Team Lotus,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/lotus.png
1973,197X,3,Team Lotus,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/lotus.png
1974,197X,4,McLaren,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/mclaren.png
1975,197X,5,Ferrari,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/ferrari.png
1976,197X,6,Ferrari,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/ferrari.png
1977,197X,7,Ferrari,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/ferrari.png
1978,197X,8,Team Lotus,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/lotus.png
1979,197X,9,Ferrari,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/ferrari.png
1980,198X,0,Williams,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/williams.png
1981,198X,1,Williams,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/williams.png
1982,198X,2,Ferrari,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/ferrari.png
1983,198X,3,Ferrari,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/ferrari.png
1984,198X,4,McLaren,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/mclaren.png
1985,198X,5,McLaren,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/mclaren.png
1986,198X,6,Williams,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/williams.png
1987,198X,7,Williams,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/williams.png
1988,198X,8,McLaren,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/mclaren.png
1989,198X,9,McLaren,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/mclaren.png
1990,199X,0,McLaren,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/mclaren.png
1991,199X,1,McLaren,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/mclaren.png
1992,199X,2,Williams,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/williams.png
1993,199X,3,Williams,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/williams.png
1994,199X,4,Williams,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/williams.png
1995,199X,5,Benetton,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/benetton.png
1996,199X,6,Williams,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/williams.png
1997,199X,7,Williams,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/williams.png
1998,199X,8,McLaren,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/mclaren.png
1999,199X,9,Ferrari,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/ferrari.png
2000,200X,0,Ferrari,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/ferrari.png
2001,200X,1,Ferrari,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/ferrari.png
2002,200X,2,Ferrari,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/ferrari.png
2003,200X,3,Ferrari,https://raw.githubusercontent.com/an-mistral/ku/refs/heads/main/images/ferrari.png
