gp,year,fastestLapSec,winnerLapSec
"Bahrain Grand Prix, 2010",2010,118.3,118.3
"Australian Grand Prix, 2010",2010,88.4,89.3
"Malaysian Grand Prix, 2010",2010,97.1,97.8
"Chinese Grand Prix, 2010",2010,102.1,102.9
"Spanish Grand Prix, 2010",2010,84.4,84.8
"Monaco Grand Prix, 2010",2010,75.2,75.3
"Turkish Grand Prix, 2010",2010,89.2,90.1
"Canadian Grand Prix, 2010",2010,77.0,77.8
"European Grand Prix, 2010",2010,98.8,99.1
"British Grand Prix, 2010",2010,90.9,92.4
"German Grand Prix, 2010",2010,75.8,75.9
"Hungarian Grand Prix, 2010",2010,82.4,82.7
"Belgian Grand Prix, 2010",2010,109.1,109.1
"Italian Grand Prix, 2010",2010,84.1,84.1
"Singapore Grand Prix, 2010",2010,108.0,108.0
"Japanese Grand Prix, 2010",2010,93.5,93.7
"Korean Grand Prix, 2010",2010,110.3,110.3
"Brazilian Grand Prix, 2010",2010,73.9,74.3
"Abu Dhabi Grand Prix, 2010",2010,101.3,101.7
"Australian Grand Prix, 2011",2011,88.9,89.8
"Malaysian Grand Prix, 2011",2011,100.6,101.5
"Chinese Grand Prix, 2011",2011,,
"Turkish Grand Prix, 2011",2011,89.7,89.9
"Spanish Grand Prix, 2011",2011,86.7,87.2
"Monaco Grand Prix, 2011",2011,76.2,76.3
"Canadian Grand Prix, 2011",2011,77.0,77.0
"European Grand Prix, 2011",2011,101.9,101.9
"British Grand Prix, 2011",2011,94.9,94.9
"German Grand Prix, 2011",2011,94.3,94.3
"Hungarian Grand Prix, 2011",2011,83.4,83.9
"Belgian Grand Prix, 2011",2011,109.9,110.5
"Italian Grand Prix, 2011",2011,86.2,86.6
"Singapore Grand Prix, 2011",2011,108.5,108.7
"Japanese Grand Prix, 2011",2011,96.6,96.6
"Korean Grand Prix, 2011",2011,99.6,99.6
"Indian Grand Prix, 2011",2011,87.2,87.2
"Abu Dhabi Grand Prix, 2011",2011,102.6,103.5
"Brazilian Grand Prix, 2011",2011,75.3,75.3
"Australian Grand Prix, 2012",2012,89.2,89.2
"Malaysian Grand Prix, 2012",2012,100.7,101.7
"Chinese Grand Prix, 2012",2012,100.0,101.0
"Bahrain Grand Prix, 2012",2012,96.4,96.4
"Spanish Grand Prix, 2012",2012,86.3,87.9
"Monaco Grand Prix, 2012",2012,77.3,78.8
"Canadian Grand Prix, 2012",2012,75.8,77.0
"European Grand Prix, 2012",2012,102.2,103.7
"British Grand Prix, 2012",2012,94.7,94.9
"German Grand Prix, 2012",2012,78.7,79.0
