constructor,x0,y0,x1,y1,totalWins
Ferrari,0.0,0.0,333.40143003064355,338.235294117647,230
McLaren,0.0,338.235294117647,333.40143003064355,600.0,178
Williams,333.40143003064355,0.0,613.3605720122574,199.64973730297723,114
Mercedes,613.3605720122574,0.0,800.0,199.64973730297723,76
Red Bull,333.40143003064355,199.64973730297723,498.73163198828956,362.7553998832458,55
Team Lotus,333.40143003064355,362.7553998832458,498.73163198828956,496.20548744892005,45
Renault,333.40143003064355,496.20548744892005,498.73163198828956,600.0,35
Benetton,498.73163198828956,199.64973730297723,610.1596585131688,318.45286403827265,27
Tyrrell,610.1596585131688,199.64973730297723,705.0798292565844,318.45286403827265,23
Brabham,705.0798292565844,199.64973730297723,800.0,318.45286403827265,23
Lotus-Climax,498.73163198828956,318.45286403827265,587.5448503038805,439.9045697472531,22
BRM,498.73163198828956,439.9045697472531,587.5448503038805,533.753615067829,17
Cooper-Climax,498.73163198828956,533.753615067829,587.5448503038805,600.0000000000001,12
Lotus-Ford,587.5448503038805,318.45286403827265,660.5763080119216,392.301293142988,11
Alfa Romeo,660.5763080119216,318.45286403827265,733.6077657199627,392.301293142988,11
Vanwall,733.6077657199627,318.45286403827265,800.0,392.301293142988,10
Ligier,587.5448503038805,392.301293142988,651.2813952127163,461.5341954286587,9
Matra-Ford,587.5448503038805,461.5341954286587,651.2813952127163,530.7670977143293,9
Maserati,587.5448503038805,530.7670977143293,651.2813952127163,600.0,9
Brawn,651.2813952127163,392.301293142988,725.6406976063581,445.05017107492756,8
Brabham-Repco,725.6406976063581,392.301293142988,799.9999999999999,445.05017107492756,8
Kurtis Kraft,651.2813952127163,445.05017107492756,708.4808585924408,487.90863439462845,5
McLaren-Ford,708.4808585924408,445.05017107492756,754.2404292962203,487.90863439462845,4
Jordan,754.2404292962203,445.05017107492756,799.9999999999999,487.90863439462845,4
March,651.2813952127163,487.90863439462845,690.6480847152326,525.2724229297523,3
Watson,651.2813952127163,525.2724229297523,690.6480847152326,562.6362114648762,3
Wolf,651.2813952127163,562.6362114648762,690.6480847152326,600.0,3
Honda,690.6480847152326,487.90863439462845,737.5131912658471,519.2942167641326,3
Brabham-Ford,737.5131912658471,487.90863439462845,768.7565956329234,519.2942167641326,2
Cooper-Maserati,768.7565956329234,487.90863439462845,799.9999999999998,519.2942167641326,2
Brabham-Climax,690.6480847152326,519.2942167641326,727.0987231434884,546.1961445094217,2
Cooper,690.6480847152326,546.1961445094217,727.0987231434884,573.0980722547109,2
Epperly,690.6480847152326,573.0980722547109,727.0987231434884,600.0000000000001,2
Lotus F1,727.0987231434884,519.2942167641326,763.5493615717442,546.1961445094217,2
BMW Sauber,763.5493615717442,519.2942167641326,781.7746807858721,546.1961445094217,1
Kuzma,781.7746807858721,519.2942167641326,800.0,546.1961445094217,1
Lotus-BRM,727.0987231434884,546.1961445094217,745.3240423576163,573.0980722547108,1
Eagle-Weslake,727.0987231434884,573.0980722547108,745.3240423576163,599.9999999999999,1
Hesketh,745.3240423576163,546.1961445094217,763.5493615717443,573.0980722547108,1
Penske,745.3240423576163,573.0980722547108,763.5493615717443,599.9999999999999,1
Shadow,763.5493615717443,546.1961445094217,781.7746807858721,573.098072254711,1
Porsche,781.7746807858721,546.1961445094217,799.9999999999999,573.098072254711,1
Toro Rosso,763.5493615717443,573.098072254711,781.7746807858723,600.0,1
Stewart,781.7746807858723,573.098072254711,799.9999999999999,600.0000000000007,1
